Datetime,Close,High,Low,Open,Volume
2026-08-07 04:00:00-04:00,29632.5,29647.25,29584.0,29584.25,7524
2026-08-07 05:00:00-04:00,29616.5,29649.0,29616.0,29633.5,3486
2026-08-07 06:00:00-04:00,29607.25,29628.0,29591.25,29618.25,3368
2026-08-07 07:00:00-04:00,29614.0,29673.25,29604.25,29606.5,7326
2026-08-07 08:00:00-04:00,29843.25,29867.75,29604.75,29614.5,28044
2026-08-07 09:00:00-04:00,29677.25,29850.5,29643.75,29843.75,92995
2026-08-07 10:00:00-04:00,29721.0,29779.5,29564.5,29679.5,102996
2026-08-07 11:00:00-04:00,29814.0,29855.25,29709.0,29720.25,53117
2026-08-07 12:00:00-04:00,29739.5,29830.0,29668.75,29814.75,47638
2026-08-07 13:00:00-04:00,29743.25,29768.0,29726.25,29739.75,23787
2026-08-07 14:00:00-04:00,29725.0,29754.75,29676.5,29743.5,23436
2026-08-07 15:00:00-04:00,29834.25,29860.25,29723.0,29725.25,54074
2026-08-07 16:00:00-04:00,29834.75,29850.75,29802.5,29833.75,13907
2026-08-09 18:00:00-04:00,29844.25,29860.25,29805.25,29851.75,5126
2026-08-09 19:00:00-04:00,29829.5,29882.25,29828.25,29845.25,4680
2026-08-09 20:00:00-04:00,29802.0,29906.5,29788.5,29830.25,9619
2026-08-09 21:00:00-04:00,29885.0,29895.0,29791.0,29803.25,6151
2026-08-09 22:00:00-04:00,29880.25,29899.5,29848.25,29886.0,3613
2026-08-09 23:00:00-04:00,29880.0,29899.0,29869.25,29881.25,2603
2026-08-10 00:00:00-04:00,29882.75,29904.0,29863.0,29878.25,2863
2026-08-10 01:00:00-04:00,29930.5,29930.5,29881.0,29882.25,3715
2026-08-10 02:00:00-04:00,29908.5,29962.75,29906.0,29930.0,5543
2026-08-10 03:00:00-04:00,29951.5,29984.0,29886.25,29909.25,5592
2026-08-10 04:00:00-04:00,29971.5,29981.0,29939.5,29952.5,3799
2026-08-10 05:00:00-04:00,29938.75,29983.75,29936.0,29971.5,2946
